sample_id,"sepal_length(4.3, 5.3)","sepal_length(5.3, 6.3)","sepal_length(6.3, 7.3)","sepal_length(7.3, 8.3)","sepal_width(2.0, 3.25)","sepal_width(3.25, 4.5)","petal_length(1.0, 3.0)","petal_length(3.0, 5.0)","petal_length(5.0, 7.0)","petal_width(0.1, 1.1)","petal_width(1.1, 2.1)","petal_width(2.1, 3.1)",is_virginica
iris_0,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_1,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_2,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_3,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_4,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_5,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_6,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_7,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_8,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_9,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_10,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_11,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_12,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_13,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_14,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_15,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_16,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_17,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_18,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_19,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_20,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_21,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_22,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_23,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_24,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_25,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_26,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_27,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_28,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_29,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_30,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_31,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_32,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_33,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_34,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_35,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_36,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_37,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_38,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_39,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_40,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_41,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_42,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_43,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_44,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_45,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_46,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_47,True,False,False,False,True,False,True,False,False,True,False,False,False
iris_48,False,True,False,False,False,True,True,False,False,True,False,False,False
iris_49,True,False,False,False,False,True,True,False,False,True,False,False,False
iris_50,False,False,True,False,True,False,False,True,False,False,True,False,False
iris_51,False,False,True,False,True,False,False,True,False,False,True,False,False
iris_52,False,False,True,False,True,False,False,True,False,False,True,False,False
iris_53,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_54,False,False,True,False,True,False,False,True,False,False,True,False,False
iris_55,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_56,False,False,True,False,False,True,False,True,False,False,True,False,False
iris_57,True,False,False,False,True,False,False,True,False,True,False,False,False
iris_58,False,False,True,False,True,False,False,True,False,False,True,False,False
iris_59,True,False,False,False,True,False,False,True,False,False,True,False,False
iris_60,True,False,False,False,True,False,False,True,False,True,False,False,False
iris_61,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_62,False,True,False,False,True,False,False,True,False,True,False,False,False
iris_63,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_64,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_65,False,False,True,False,True,False,False,True,False,False,True,False,False
iris_66,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_67,False,True,False,False,True,False,False,True,False,True,False,False,False
iris_68,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_69,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_70,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_71,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_72,False,False,True,False,True,False,False,True,False,False,True,False,False
iris_73,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_74,False,False,True,False,True,False,False,True,False,False,True,False,False
iris_75,False,False,True,False,True,False,False,True,False,False,True,False,False
iris_76,False,False,True,False,True,False,False,True,False,False,True,False,False
iris_77,False,False,True,False,True,False,False,False,True,False,True,False,False
iris_78,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_79,False,True,False,False,True,False,False,True,False,True,False,False,False
iris_80,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_81,False,True,False,False,True,False,False,True,False,True,False,False,False
iris_82,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_83,False,True,False,False,True,False,False,False,True,False,True,False,False
iris_84,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_85,False,True,False,False,False,True,False,True,False,False,True,False,False
iris_86,False,False,True,False,True,False,False,True,False,False,True,False,False
iris_87,False,False,True,False,True,False,False,True,False,False,True,False,False
iris_88,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_89,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_90,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_91,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_92,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_93,True,False,False,False,True,False,False,True,False,True,False,False,False
iris_94,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_95,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_96,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_97,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_98,True,False,False,False,True,False,False,True,False,False,True,False,False
iris_99,False,True,False,False,True,False,False,True,False,False,True,False,False
iris_100,False,False,True,False,False,True,False,False,True,False,False,True,True
iris_101,False,True,False,False,True,False,False,False,True,False,True,False,True
iris_102,False,False,True,False,True,False,False,False,True,False,False,True,True
iris_103,False,False,True,False,True,False,False,False,True,False,True,False,True
iris_104,False,False,True,False,True,False,False,False,True,False,False,True,True
iris_105,False,False,False,True,True,False,False,False,True,False,False,True,True
iris_106,True,False,False,False,True,False,False,True,False,False,True,False,True
iris_107,False,False,False,True,True,False,False,False,True,False,True,False,True
iris_108,False,False,True,False,True,False,False,False,True,False,True,False,True
iris_109,False,False,True,False,False,True,False,False,True,False,False,True,True
iris_110,False,False,True,False,True,False,False,False,True,False,True,False,True
iris_111,False,False,True,False,True,False,False,False,True,False,True,False,True
iris_112,False,False,True,False,True,False,False,False,True,False,False,True,True
iris_113,False,True,False,False,True,False,False,False,True,False,True,False,True
iris_114,False,True,False,False,True,False,False,False,True,False,False,True,True
iris_115,False,False,True,False,True,False,False,False,True,False,False,True,True
iris_116,False,False,True,False,True,False,False,False,True,False,True,False,True
iris_117,False,False,False,True,False,True,False,False,True,False,False,True,True
iris_118,False,False,False,True,True,False,False,False,True,False,False,True,True
iris_119,False,True,False,False,True,False,False,False,True,False,True,False,True
iris_120,False,False,True,False,True,False,False,False,True,False,False,True,True
iris_121,False,True,False,False,True,False,False,True,False,False,True,False,True
iris_122,False,False,False,True,True,False,False,False,True,False,True,False,True
iris_123,False,False,True,False,True,False,False,True,False,False,True,False,True
iris_124,False,False,True,False,False,True,False,False,True,False,False,True,True
iris_125,False,False,True,False,True,False,False,False,True,False,True,False,True
iris_126,False,True,False,False,True,False,False,True,False,False,True,False,True
iris_127,False,True,False,False,True,False,False,True,False,False,True,False,True
iris_128,False,False,True,False,True,False,False,False,True,False,False,True,True
iris_129,False,False,True,False,True,False,False,False,True,False,True,False,True
iris_130,False,False,False,True,True,False,False,False,True,False,True,False,True
iris_131,False,False,False,True,False,True,False,False,True,False,True,False,True
iris_132,False,False,True,False,True,False,False,False,True,False,False,True,True
iris_133,False,False,True,False,True,False,False,False,True,False,True,False,True
iris_134,False,True,False,False,True,False,False,False,True,False,True,False,True
iris_135,False,False,False,True,True,False,False,False,True,False,False,True,True
iris_136,False,False,True,False,False,True,False,False,True,False,False,True,True
iris_137,False,False,True,False,True,False,False,False,True,False,True,False,True
iris_138,False,True,False,False,True,False,False,True,False,False,True,False,True
iris_139,False,False,True,False,True,False,False,False,True,False,False,True,True
iris_140,False,False,True,False,True,False,False,False,True,False,False,True,True
iris_141,False,False,True,False,True,False,False,False,True,False,False,True,True
iris_142,False,True,False,False,True,False,False,False,True,False,True,False,True
iris_143,False,False,True,False,True,False,False,False,True,False,False,True,True
iris_144,False,False,True,False,False,True,False,False,True,False,False,True,True
iris_145,False,False,True,False,True,False,False,False,True,False,False,True,True
iris_146,False,False,True,False,True,False,False,False,True,False,True,False,True
iris_147,False,False,True,False,True,False,False,False,True,False,True,False,True
iris_148,False,True,False,False,False,True,False,False,True,False,False,True,True
iris_149,False,True,False,False,True,False,False,False,True,False,True,False,True
